ID,Name,Platform_id,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
78,FIFA 16,18,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
79,Wii Party,25,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
80,Halo 2,29,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
81,Mario Party 8,25,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
82,Pokemon Black 2/Pokemon White 2,4,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
83,FIFA Soccer 13,17,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
84,The Sims 3,13,2009,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11
85,GoldenEye 007,10,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
86,Mario & Sonic at the Olympic Games,25,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06
87,Final Fantasy X,16,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
88,Final Fantasy VIII,15,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
89,Pokémon Platinum Version,4,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
90,Pac-Man,31,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81
91,Grand Theft Auto: Liberty City Stories,19,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72
92,Super Mario Galaxy 2,25,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
93,Star Wars Battlefront (2015),18,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
94,Call of Duty: Advanced Warfare,18,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
95,The Legend of Zelda: Ocarina of Time,10,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,15,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
97,Super Mario Bros. 2,11,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
98,Super Smash Bros. for Wii U and 3DS,2,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
99,Call of Duty: World at War,28,2008,Shooter,Activision,4.79,1.9,0,0.69,7.37
100,Battlefield 3,28,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34
101,The Legend of Zelda: Twilight Princess,25,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
102,Call of Duty: Black Ops 3,30,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
103,Just Dance,25,2009,Misc,Ubisoft,3.51,3.03,0,0.73,7.27
104,Battlefield 3,17,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23
105,Need for Speed Underground,16,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
106,Tekken 3,15,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
107,Crash Bandicoot 3: Warped,15,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
108,Super Smash Bros. Melee,7,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
109,Mario Kart 8,26,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
110,Fallout 4,18,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
111,Mario Kart: Double Dash!!,7,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
112,Just Dance 4,25,2012,Misc,Ubisoft,4.14,2.21,0,0.56,6.91
113,FIFA 14,17,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9
114,Need for Speed Underground 2,16,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9
115,Medal of Honor: Frontline,16,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
116,Uncharted 3: Drake's Deception,17,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
117,Crash Bandicoot,15,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
118,Zumba Fitness,25,2010,Sports,505 Games,3.5,2.64,0,0.67,6.81
119,Gears of War 2,28,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76
120,Uncharted 2: Among Thieves,17,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73
121,Call of Duty 4: Modern Warfare,17,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
122,FIFA 12,17,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
123,Big Brain Academy,4,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67
124,Red Dead Redemption,17,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
125,FIFA 15,18,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
126,Donkey Kong Country Returns,25,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
127,The Elder Scrolls V: Skyrim,17,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
128,The Legend of Zelda,11,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
129,Assassin's Creed III,17,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
130,Halo: Combat Evolved,29,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
131,Pokémon Emerald Version,6,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
132,Kingdom Hearts,16,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4
133,Pokémon Crystal Version,5,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
134,Halo 3: ODST,28,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
135,Red Dead Redemption,28,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
136,Super Mario Sunshine,7,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
137,Street Fighter II: The World Warrior,23,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
138,World of Warcraft,13,2004,Role-Playing,Activision,0.07,6.21,0,0,6.28
139,Driver,15,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
140,Kinect Sports,28,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
141,Gears of War 3,28,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
142,Gears of War,28,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
143,Metal Gear Solid 2: Sons of Liberty,16,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
144,Sonic the Hedgehog 2,8,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
145,Metal Gear Solid 4: Guns of the Patriots,17,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
146,Metal Gear Solid,15,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
147,The Last of Us,17,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
148,Final Fantasy XII,16,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95
149,LittleBigPlanet,17,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
150,Dragon Quest IX: Sentinels of the Starry Skies,4,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
151,LEGO Star Wars: The Complete Saga,25,2007,Action,LucasArts,3.66,1.63,0,0.53,5.83
152,Resident Evil 2,15,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
153,Tekken 2,15,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
154,Cooking Mama,4,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72
155,Destiny,18,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
156,Tetris,11,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
157,Assassin's Creed II,17,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
158,Super Smash Bros.,10,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
159,Assassin's Creed,28,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
160,Batman: Arkham City,17,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
161,Forza Motorsport 3,28,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
162,Monster Hunter Freedom Unite,19,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
163,Super Mario Advance,6,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
164,Mario Kart: Super Circuit,6,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
165,Super Mario World,6,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
166,Pokemon Stadium,10,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
167,Call of Duty: World at War,17,2008,Shooter,Activision,2.72,1.87,0,0.84,5.43
168,Crash Bandicoot: The Wrath of Cortex,16,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
169,Minecraft,17,2014,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42
170,Final Fantasy XIII,17,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
171,Dr. Mario,5,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34
172,Pokemon Pinball,5,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
173,Assassin's Creed III,28,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3
174,Final Fantasy IX,15,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
175,Final Fantasy X-2,16,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
176,Donkey Kong 64,10,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
177,Assassin's Creed II,28,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
178,Professor Layton and the Curious Village,4,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26
179,Tomb Raider II,15,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
180,Madden NFL 2004,16,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
181,Dragon Quest VIII: Journey of the Cursed King,16,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
182,Diablo III,13,2012,Role-Playing,Activision,2.43,2.15,0,0.62,5.2
183,Super Mario Bros. 3,6,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
184,New Super Mario Bros. U,26,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
185,Super Mario Land 3: Wario Land,5,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
186,FIFA Soccer 13,28,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18
187,The Legend of Zelda: Phantom Hourglass,4,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17
188,Donkey Kong Country 2: Diddy's Kong Quest,23,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
189,Tomodachi Life,2,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15
190,Mario & Sonic at the Olympic Games,4,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14
191,Medal of Honor: Rising Sun,16,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
192,Kirby's Dream Land,5,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
193,Fable III,28,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
194,Call of Duty: Advanced Warfare,30,2014,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
195,Microsoft Flight Simulator,13,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12
196,Guitar Hero II,16,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12
197,Resident Evil 5,17,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11
198,Grand Theft Auto V,30,2014,Action,Take-Two Interactive,2.66,2.01,0,0.41,5.08
199,Grand Theft Auto: Vice City Stories,19,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
200,FIFA Soccer 11,17,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08
201,Super Mario Bros.,5,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
202,Resident Evil,15,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
203,Tony Hawk's Pro Skater,15,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
204,Super Smash Bros. for Wii U and 3DS,26,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
205,Warzone 2100,15,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01
206,Spyro the Dragon,15,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5
207,Link's Crossbow Training,25,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5
208,Guitar Hero III: Legends of Rock,16,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98
209,Fallout 3,28,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,4,2007,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96
211,Uncharted: Drake's Fortune,17,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
212,Madden NFL 06,16,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91
213,LEGO Star Wars: The Complete Saga,4,2007,Action,LucasArts,2.89,1.54,0,0.46,4.9
214,Diddy Kong Racing,10,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
215,Monster Hunter Freedom 3,19,2010,Role-Playing,Capcom,0,0,4.87,0,4.87
216,Dr. Mario,11,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
217,God of War III,17,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84
218,StarCraft II: Wings of Liberty,13,2010,Strategy,Activision,2.56,1.68,0,0.59,4.83
219,Assassin's Creed,17,2007,Adventure,Ubisoft,1.91,2,0.09,0.83,4.83
220,FIFA 15,17,2014,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82
221,Crash Team Racing,15,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
222,FIFA 17,18,2016,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77
223,Batman: Arkham City,28,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76
224,Driver 2,15,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73
225,The Simpsons: Hit & Run,16,2003,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7
226,Tony Hawk's Pro Skater 2,15,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
227,Animal Crossing: City Folk,25,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
228,The Lord of the Rings: The Two Towers,16,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
229,Forza Motorsport 4,28,2011,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64
230,Tomb Raider,15,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
231,Guitar Hero III: Legends of Rock,25,2007,Misc,Activision,3.06,1.12,0,0.44,4.62
232,The Legend of Zelda: A Link to the Past,23,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
233,The Legend of Zelda: The Wind Waker,7,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
234,Mario & Sonic at the Olympic Winter Games,25,2009,Sports,Sega,1.89,1.99,0.22,0.48,4.58
235,Luigi's Mansion: Dark Moon,2,2013,Action,Nintendo,1.78,1.39,1.1,0.3,4.58
236,Splatoon,26,2015,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
237,The Last of Us,18,2014,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55
238,Guitar Hero III: Legends of Rock,28,2007,Misc,Activision,3.19,0.92,0.01,0.42,4.53
239,Madden NFL 2005,16,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
240,Pitfall!,31,1981,Platform,Activision,4.21,0.24,0,0.05,4.5
241,Madden NFL 07,16,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
242,Spider-Man: The Movie,16,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
243,Dragon Quest VII: Warriors of Eden,15,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47
244,Uncharted: The Nathan Drake Collection,18,2015,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47
245,Call of Duty: Advanced Warfare,17,2014,Shooter,Activision,1.54,1.94,0.19,0.77,4.45
246,God of War,16,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
247,Nintendo Land,26,2012,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44
248,Michael Jackson: The Experience,25,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
249,Tony Hawk's Pro Skater 3,16,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41
250,Winning Eleven: Pro Evolution Soccer 2007,16,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
251,The Elder Scrolls IV: Oblivion,28,2006,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
252,Zelda II: The Adventure of Link,11,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
253,Need for Speed: Most Wanted,16,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
254,Resistance: Fall of Man,17,2006,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
255,Sonic the Hedgehog,8,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34
256,Kingdom Hearts II,16,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33
257,FIFA 14,28,2013,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31
258,Call of Duty: Advanced Warfare,28,2014,Shooter,Activision,2.75,1.18,0,0.37,4.31
259,Asteroids,31,1980,Shooter,Atari,4,0.26,0,0.05,4.31
260,Fable II,28,2008,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31
261,Halo 5: Guardians,30,2015,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26
262,Super Mario 3D World,26,2013,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25
263,Batman: Arkham Asylum,17,2009,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
264,Assassin's Creed: Revelations,17,2011,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24
265,Namco Museum,6,2001,Misc,Namco Bandai Games,3,1.11,0.05,0.07,4.24
266,Metal Gear Solid 3: Snake Eater,16,2004,Action,Konami Digital Entertainment,1.46,0,0.83,1.93,4.23
267,Daxter,19,2006,Platform,Sony Computer Entertainment,2.45,1.02,0,0.75,4.22
268,Warcraft II: Tides of Darkness,13,1995,Strategy,Activision,1.7,2.27,0,0.23,4.21
269,The Legend of Zelda: Ocarina of Time,2,2011,Action,Nintendo,2.03,1.27,0.62,0.3,4.21
270,FIFA Soccer 06,16,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21
271,EyeToy Play,16,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
272,Uncharted 4: A Thief's End,18,2016,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2
273,Gran Turismo 5 Prologue,17,2007,Racing,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.2
